Muestra,Na+,K+,Ca++,Mg++,Cl-,HCO3-,SO4--,Dureza total,CE,pH,Caudal,SDT,RAS,IWQI
1.0,150.0,4.0,124.0,24.0,227.0,122.0,330.0,410.0,1330.0,7.8,40.972,930.0,3.2,67.73967942296133
2.0,121.0,3.0,119.0,17.0,241.0,110.0,332.1,368.0,1250.0,8.1,51.244,1300.0,2.8,72.54487932486126
3.0,146.0,3.0,124.0,20.0,220.0,116.0,312.2,392.0,1170.0,8.1,84.223,1100.0,3.2,69.51398063618339
4.0,133.0,4.0,155.0,5.0,308.5,122.0,342.44,407.1,1300.0,7.7,77.312,1200.0,2.9,68.1128447642376
5.0,178.0,4.2,142.0,2.7,262.4,125.1,288.26,365.2,1290.0,7.9,75.191,900.0,4.1,63.805760451279795
6.0,137.5,3.8,126.8,5.9,225.2,128.1,184.08,340.0,920.0,8.2,97.599,700.0,3.2,71.41241968877313
7.0,121.4,3.4,122.3,12.2,205.7,115.9,253.54,355.0,1090.0,8.17,81.803,800.0,2.8,74.4364150804782
8.0,133.6,3.45,111.3,17.8,218.1,109.8,173.3333333,351.0,1130.0,8.24,55.218,787.0,3.1,70.8983001736459
9.0,121.5,3.07,105.3,31.9,195.0,109.8,303.0,394.0,1110.0,8.19,64.215,600.0,2.7,75.03012392306151
10.0,174.1,4.2,142.0,17.6,251.8,119.0,341.0,427.0,1390.0,7.87,26.863,910.0,3.7,64.41974432553984
11.0,173.6036084,3.84576516,138.3852994,20.34773285,281.6818975,125.0471653,327.4640486,429.1030708,1316.0444,7.923175598,27.747,822.3661532,3.65402343,63.49234225184682
12.0,157.9,3.8,122.0,24.0,322.3,119.0,335.875,402.7,1474.0,7.93,24.811,600.0,3.4,62.09927224960597
13.0,170.1,3.07,130.3,22.5,255.3,131.2,319.92,418.0,1290.0,8.06,25.789,660.0,3.6,65.01717349475804
14.0,125.5,3.4,133.3,17.0,244.4,112.9,332.1,403.0,1240.0,7.97,62.274,700.0,2.7,72.52793117830674
15.0,145.8,3.5,121.0,18.0,237.6,128.1,168.7,376.0,1230.0,8.19,73.41,800.0,3.3,68.20631927469445
16.0,156.9,3.8,127.0,15.4,252.8,126.9,276.3,380.0,1350.0,8.2,73.959,902.0,3.5,65.8978366361151
17.0,137.7,3.8,122.2,13.7,267.0,131.2,205.9,362.0,1380.0,8.33,83.751,900.0,3.1,66.70976963682786
18.0,153.9,4.6,119.2,16.8,273.0,133.6,107.0,367.0,1390.0,8.3,89.215,890.0,3.5,64.73344561954765
19.0,121.5,3.8,133.4,16.3,293.6,126.3,137.1,400.0,1060.0,8.31,58.856,900.0,2.6,71.72122816299077
20.0,146.0,4.0,121.0,17.0,311.0,114.0,108.0,373.0,1320.0,8.1,56.747,900.0,3.3,64.80904988137425
21.0,190.0,5.0,158.0,22.0,325.0,159.0,224.0,484.0,1530.0,8.2,51.218,1000.0,3.8,57.83351400419623
22.0,202.0,4.0,173.0,21.0,382.0,149.0,303.0,517.0,1870.0,8.0,28.865,1100.0,3.9,54.566149921398846
23.0,215.0,4.0,167.0,21.0,400.0,151.0,230.0,504.0,1900.0,7.7,25.202,1300.0,4.2,53.75239345456825
24.0,149.8,3.5,155.5,20.5,323.0,121.1,236.5,472.0,1260.0,8.2,24.052,1200.0,3.0,64.49127248116878
25.0,178.2,3.8,141.7,19.5,307.1,114.4,218.6,434.0,1940.0,8.16,39.787,1260.0,3.7,59.40428393047762
26.0,153.9,3.8,138.0,22.2,284.0,117.1,217.4,436.0,1860.0,8.01,51.36,1050.0,3.2,62.93166785459729
27.0,174.1,4.2,150.9,14.7,216.9,102.7,398.3,437.0,1540.0,7.8,79.999,990.0,3.6,65.04752216284393
28.0,186.3,4.6,144.3,18.7,280.6,121.4,316.9,436.0,1720.0,7.9,71.033,1000.0,3.9,60.40389305780035
29.0,183.3,3.8,134.3,26.7,237.2,107.4,341.4,444.0,1460.0,7.9,84.06,1000.0,3.8,63.92637109638879
